Show Name,Theatre Name,Start Date,End Date,Link
"Live at Lunch: Kylia Tsz Yam Pai","www.trch.co.uk","23 May 2025","","https://trch.co.uk/whats-on/kylia-tsz-yam-pai/"
"Les Misérables - Let the People Sing","www.trch.co.uk","31 May 2025","","https://trch.co.uk/whats-on/les-miserables-let-the-people-sing/"
"Sophie Ellis-Bextor","www.trch.co.uk","28 May 2025","","https://trch.co.uk/whats-on/sophie-ellis-bextor/"
"The Sensational 60s Experience","www.trch.co.uk","01 Jun 2025","","https://trch.co.uk/whats-on/sensational-60s/"
"The Hallé","www.trch.co.uk","03 Jun 2025","","https://trch.co.uk/whats-on/the-halle-june/"
"The Book of Mormon","www.trch.co.uk","28 Jun 2025","","https://trch.co.uk/whats-on/the-book-of-mormon/"
"Aljaž & Janette","www.trch.co.uk","04 Jun 2025","","https://trch.co.uk/whats-on/aljaz-and-janette/"
"Dara O'Briain: Re:Creation","www.trch.co.uk","05 Jun 2025","","https://trch.co.uk/whats-on/dara-o-briain/"
"Gary Barlow - The Songbook Tour","www.trch.co.uk","07 Jun 2025","","https://trch.co.uk/whats-on/gary-barlow/"
"Limelight Backstage Tour","www.trch.co.uk","07 Jun 2025","","https://trch.co.uk/whats-on/limelight-backstage-tour-07-06/"
"Bonnie Raitt","www.trch.co.uk","08 Jun 2025","","https://trch.co.uk/whats-on/bonnie-raitt/"
"Hamlet: The Rest is Silence (Community Production)","www.trch.co.uk","11 Jun 2025","","https://trch.co.uk/whats-on/hamlet-the-rest-is-silence-community-production/"
"The Illegal Eagles with special guests Nearly Dan","www.trch.co.uk","12 Jun 2025","","https://trch.co.uk/whats-on/the-illegal-eagles/"
"Now Hear This","www.trch.co.uk","13 Jun 2025","","https://trch.co.uk/whats-on/now-hear-this/"
"DriveTime Choir","www.trch.co.uk","13 Jun 2025","","https://trch.co.uk/whats-on/drivetime-choir/"
"DriveTime Concert","www.trch.co.uk","13 Jun 2025","","https://trch.co.uk/whats-on/drivetime-concert/"
"Limelight Backstage Tour","www.trch.co.uk","14 Jun 2025","","https://trch.co.uk/whats-on/limelight-backstage-tour-14-06/"
"Tim Minchin","www.trch.co.uk","16 Jun 2025","","https://trch.co.uk/whats-on/tim-minchin/"
"Kiell Smith-Bynoe & Friends: Kool Story Bro","www.northernstage.co.uk","8 May 2025","","https://northernstage.co.uk/whats-on/kiell-smith-bynoe-friends/"
"Teach Rex Live","www.northernstage.co.uk","10 May 2025","","https://northernstage.co.uk/whats-on/teach-rex-live/"
"Handbagged","www.northernstage.co.uk","17 May 2025","","https://northernstage.co.uk/whats-on/handbagged/"
"Jerusalem","www.northernstage.co.uk","17 May 2025","","https://northernstage.co.uk/whats-on/jerusalem/"
"Touch Tour","www.northernstage.co.uk","3 Jan 2026","","https://northernstage.co.uk/whats-on/touch-tour/"
"Northern Stage Pub Quiz","www.northernstage.co.uk","22 May 2025","","https://northernstage.co.uk/whats-on/northern-stage-pub-quiz/"
"Across the Universe","www.northernstage.co.uk","25 May 2025","","https://northernstage.co.uk/whats-on/across-the-universe/"
"The Very Hungry Caterpillar Show","www.northernstage.co.uk","1 Jun 2025","","https://northernstage.co.uk/whats-on/the-very-hungry-caterpillar/"
"My-dentity","www.northernstage.co.uk","30 May 2025","","https://northernstage.co.uk/whats-on/my-dentity/"
"A Life NOT in Heels","www.northernstage.co.uk","20 Jun 2025","","https://northernstage.co.uk/whats-on/a-life-not-in-heels/"
"GemArts Masala Festival","www.northernstage.co.uk","15 Jul 2025","","https://northernstage.co.uk/whats-on/gemarts-masala-festival/"
"Adam Kay: A Particularly Nasty Case","www.northernstage.co.uk","4 Sep 2025","","https://northernstage.co.uk/whats-on/adam-kay/"
